Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
27,361,418,276,475,108.61,14.0,108.61
57,47,439,264,472,233.98,29.4,230.67
55,332,168,424,305,225.59,47.8,222.08
74,396,399,130,416,300.72,55.6,298.24
3,206,421,197,413,12.31,13.2,12.31
13,245,449,296,445,52.66,15.4,52.66
83,371,405,67,411,347.42,141.8,334.65
7,165,436,137,438,28.83,13.2,28.83
75,453,279,226,125,309.48,130.2,301.48
88,246,198,493,345,357.85,89.8,353.75
95,383,372,69,353,388.0,104.8,382.35
126,426,413,372,139,515.27,227.2,507.9
67,424,325,302,456,275.33,103.4,270.99
71,183,444,452,433,284.91,43.8,284.33
3,470,359,464,348,13.49,7.2,13.49
109,343,407,312,121,442.81,168.2,438.71
76,275,463,500,369,306.79,106.6,305.27
50,150,459,337,421,202.74,36.6,202.74
92,378,376,65,379,372.58,148.0,368.92
76,462,302,224,221,308.87,113.2,304.52
112,268,229,426,402,459.48,212.6,450.1
71,425,310,283,156,298.88,95.6,287.26
104,437,433,62,381,418.66,189.4,416.42
119,279,454,326,161,485.75,179.6,479.07
48,466,303,338,201,195.97,41.2,192.69
126,456,305,40,445,514.82,129.8,507.16
53,194,417,385,423,216.2,31.8,213.37
49,231,196,327,106,201.48,25.6,196.31
36,43,481,171,438,145.81,27.0,145.81
49,363,394,196,420,201.55,34.6,198.48
35,418,377,305,448,144.41,22.4,142.41
23,245,461,326,427,95.08,17.6,95.08
50,478,361,382,206,208.38,41.6,203.79
110,260,450,402,179,446.19,150.8,440.91
92,187,421,497,323,374.72,88.2,370.48
39,456,339,434,393,166.12,70.0,156.02
57,462,375,332,415,233.87,54.4,230.01
17,212,428,165,376,71.47,14.2,71.47
123,381,395,243,63,503.41,207.6,493.8
14,423,243,383,205,60.43,15.4,58.67
51,355,424,472,372,209.21,71.4,205.94
96,342,225,430,417,394.03,176.6,384.66
38,410,218,485,340,156.58,35.4,153.07
13,183,389,137,368,54.7,13.4,54.7
103,434,337,210,111,424.8,216.0,414.8
42,290,458,133,494,173.67,15.0,171.91
112,143,391,453,279,456.46,172.0,449.63
93,219,199,464,345,379.19,79.2,372.16
38,395,371,279,453,152.89,40.0,152.31
67,465,422,206,440,278.05,63.6,271.43
62,425,355,400,166,252.84,65.4,249.32
76,385,407,110,484,306.89,51.0,306.89
115,419,144,283,456,465.37,213.6,462.44
96,394,183,303,443,392.87,162.2,387.7
14,453,317,469,358,63.04,18.0,57.87
77,169,375,425,393,313.71,51.4,309.46
17,81,433,120,485,71.33,20.4,69.57
87,384,84,202,113,366.89,83.8,351.43
40,312,462,150,463,166.07,30.8,163.24
5,243,201,233,219,24.49,13.8,22.14
9,43,439,71,412,39.18,15.0,39.18
97,351,123,427,376,401.46,183.4,391.46
109,504,362,158,376,443.81,126.2,438.06
28,31,408,127,450,113.4,21.4,113.4
19,25,444,93,421,83.53,20.6,77.53
82,388,345,122,471,330.49,78.4,330.49
126,279,461,309,141,513.94,211.6,507.25
34,240,463,104,458,146.36,20.8,138.07
11,169,447,149,484,45.28,12.4,45.28
28,390,203,453,289,115.61,19.8,112.68
96,116,429,451,341,387.78,120.8,384.71
98,176,457,454,282,398.4,137.6,395.82
78,74,398,359,421,316.89,86.8,314.41
38,60,480,186,412,166.17,53.8,154.17
15,44,415,84,370,61.57,13.2,61.57
108,434,347,49,470,444.63,93.0,435.95
48,367,138,310,238,197.85,39.0,195.41
85,209,443,451,300,345.92,121.8,341.92
109,327,202,297,430,445.63,183.6,439.77
105,466,353,232,65,428.7,174.8,422.5
30,200,425,92,461,122.91,20.2,122.91
84,383,421,59,457,340.08,31.6,338.91
118,299,180,309,448,478.2,231.6,472.34
21,287,220,263,147,87.87,14.8,84.11
118,454,374,107,455,475.99,117.8,473.3
13,370,396,414,376,52.87,15.6,52.28
29,168,454,282,465,118.56,12.8,118.56
116,469,355,99,479,468.72,139.8,466.03
12,291,195,326,203,54.01,15.6,51.53
64,303,467,68,413,268.68,91.8,257.37
40,482,348,389,410,169.27,56.4,161.31
19,138,390,74,353,79.91,20.4,79.91
75,141,386,409,424,305.87,47.6,303.62
16,326,411,387,424,66.38,16.2,66.38
32,58,391,159,462,139.78,32.8,130.41
100,299,227,363,421,412.52,154.8,403.49
47,311,429,156,377,194.04,22.8,189.79
1,494,324,492,330,6.83,6.4,6.83
64,265,228,396,88,261.51,137.8,256.82
61,413,164,471,365,244.66,43.0,244.91
104,436,438,338,158,426.98,104.2,416.78
54,262,75,406,170,226.18,57.4,219.74
24,89,433,171,393,99.74,29.8,98.57
76,479,391,319,229,310.84,94.4,304.74
119,237,221,421,395,487.55,218.2,477.35
13,266,462,314,451,52.56,19.0,52.56
87,287,225,401,365,353.02,140.2,349.26
14,102,432,109,380,59.87,18.8,58.21
13,76,474,123,459,53.21,23.8,53.21
73,318,415,424,240,298.12,78.6,293.19
14,416,216,454,258,57.74,10.2,57.74
53,423,311,421,404,220.82,78.2,212.97
66,122,458,356,389,267.85,49.0,267.85
97,107,486,467,417,389.41,57.4,388.58
19,129,416,127,493,77.83,12.2,77.83
123,65,443,468,356,499.5,307.4,492.33
32,470,389,413,323,130.7,28.2,130.11
75,422,414,140,432,303.3,37.8,300.23
61,293,455,74,394,244.85,45.0,244.27
116,91,477,492,323,465.96,216.2,464.79
113,413,402,324,105,460.74,165.6,453.13
41,298,440,156,390,169.34,21.8,166.85
49,245,469,396,368,197.52,35.0,196.35
118,320,426,268,224,479.87,218.6,474.94
31,50,447,146,379,134.27,43.2,126.51
51,371,391,190,441,208.68,41.4,205.02
42,388,156,297,190,175.99,52.0,168.72
44,217,438,54,470,182.6,38.6,176.25
54,445,398,443,301,225.31,65.6,218.62
10,419,229,385,206,48.36,15.4,43.53
13,309,95,313,146,52.66,12.2,52.66
85,88,430,411,410,346.78,130.4,343.71
57,245,473,27,441,236.81,35.8,231.25
